"Property ID","CKAN API property name","Schema Name English","Schema Name French","Requirement","Occurrences","Reference","Value Type","FGP XPATH"
"15","15-title_translated.fr","Title (French)","Titre (français)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"16","16-owner_org","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","S","CL 1.3.4","CKAN defined/provided",""
"16a","owner_org-primary","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","S","CL 1.3.4","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString"
"16b","owner_org-alternate","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","S","CL 1.3.4","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"17","17-18-org_title_at_publication","Publisher - Organization Name at Publication (English)","Éditeur - organisation titre lors de la publication (anglais)","M","S","Free text","CKAN defined/provided",""
"18","18-org_title_at_publication.fr","Publisher - Organization Name at Publication (French)","Éditeur - organisation titre lors de la publication (français)","M","S","Free text","CKAN defined/provided",""
"19","19-20-undefined","Publisher -Organization Section Name (English)","Éditeur - organisation nom de la section (anglais)","O","S","Free text","CKAN defined/provided",""
"20","20-undefined","Publisher - Organization Section Name (French)","Éditeur - organisation nom de la section (français)","O","S","Free text","CKAN defined/provided",""
"21","21-creator","Creator","Créateur","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString"
"22","22-23-contributor","Contributor (English)","Contributeur (anglais)","O","R","Free text","",""
"23","23-contributor.fr","Contributor (French)","Contributeur (francais)","O","R","Free text","",""
"24","24-25-position_name","Position Name (English)","Nom position (anglais)","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:positionName/gco:CharacterString"
"25","25-position_name.fr","Position Name (French)","Nom position (français)","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"26","26-responsible_role","Role","Rôle","M","S","CL 1.3.17","attribute","gmd:contact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode"
"27","27-undefined","","","","","","",""
"28","28-undefined","","","","","","",""
"29","29-30-contact_information","Contact Information (English)","Information contact (anglais)","M","S","Free text","",""
"29a","29-30-contact_information — deliveryPoint","Contact Information (English) — deliveryPoint","Information contact (anglais) — deliveryPoint","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString"
